Season,Var.1,Var.2,Var.3,Var.4,Var.5,Var.6,Var.7,Var.8,Var.9,Var.10,Var.11,Var.12,Var.13,Var.14,Var.15,Var.16,Var.17,Var.18,Offense.Four.Factors,Offense.Four.Factors.1,Offense.Four.Factors.2,Offense.Four.Factors.3,Var.23,Defense.Four.Factors,Defense.Four.Factors.1,Defense.Four.Factors.2,Defense.Four.Factors.3,Var.28,Var.29,Var.30,Var.31
5,20,New Jersey Nets,27.5,30,52,32,50,-3.13,-0.14,-3.28,105.2,108.6,-3.4,92.3,.342,.192,.519,NA,.467,14.4,33.3,.260,NA,.493,12.4,70.9,.217,NA,Brendan Byrne Arena,"684,102","16,685"
5,21,Milwaukee Bucks,25.7,34,48,29,53,-4.37,0.07,-4.30,106.2,110.9,-4.7,92.7,.343,.205,.537,NA,.496,15.5,31.3,.244,NA,.530,15.3,68.3,.230,NA,Bradley Center,"670,720","16,359"
5,22,Golden State Warriors,26.0,26,56,27,55,-5.41,0.51,-4.90,106.7,112.2,-5.5,97.9,.348,.233,.547,NA,.508,15.9,30.3,.245,NA,.522,13.9,66.5,.216,NA,Oakland-Alameda County Coliseum Arena,"616,025","15,025"
5,23,Philadelphia 76ers,25.1,24,58,27,55,-5.07,0.01,-5.06,104.1,109.7,-5.6,91.0,.323,.142,.521,NA,.475,15.3,32.3,.238,NA,.500,14.6,66.1,.235,NA,CoreStates Spectrum,"507,806","12,386"
5,24,Washington Bullets,24.5,21,61,26,56,-5.60,0.04,-5.56,105.4,111.3,-5.9,94.5,.292,.183,.529,NA,.492,14.3,29.3,.211,NA,.512,14.9,66.7,.262,NA,USAir Arena,"689,463","17,255"
5,25,Detroit Pistons,26.9,28,54,22,60,-7.29,0.21,-7.08,105.1,112.9,-7.8,93.2,.293,.210,.538,NA,.499,15.0,28.3,.217,NA,.510,14.2,65.8,.299,NA,The Palace of Auburn Hills,"719,090","17,539"
5,26,Los Angeles Clippers,24.9,17,65,18,64,-9.16,0.73,-8.43,101.5,111.1,-9.6,94.3,.302,.153,.508,NA,.468,14.6,29.6,.214,NA,.526,16.6,65.7,.290,NA,Los Angeles Memorial Sports Arena,"438,244","9,333"
5,27,Minnesota Timberwolves,25.4,21,61,18,64,-9.00,0.78,-8.22,102.6,112.4,-9.8,91.4,.379,.163,.532,NA,.475,16.2,27.7,.293,NA,.510,14.8,64.1,.280,NA,Target Center,"603,518","14,720"
5,,League Average,27.2,,,41,41,0.00,0.01,0.01,108.3,108.3,,92.9,.332,.188,.543,NA,.500,14.6,31.4,.245,NA,.500,14.6,68.6,.245,NA,,"685,305","16,736"
6,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,NA,eFG%,TOV%,ORB%,FT/FGA,NA,eFG%,TOV%,DRB%,FT/FGA,NA,Arena,Attend.,Attend./G
6,1,Chicago Bulls*,29.9,72,10,70,12,12.24,-0.44,11.80,115.2,101.8,+13.4,91.1,.291,.196,.555,NA,.517,13.1,36.9,.217,NA,.482,16.1,71.1,.222,NA,United Center,"969,149","23,638"
6,2,Seattle SuperSonics*,29.6,64,18,61,21,7.79,-0.40,7.40,110.3,102.1,+8.2,93.8,.379,.249,.574,NA,.526,16.2,29.7,.288,NA,.479,16.7,69.5,.252,NA,KeyArena at Seattle Center,"697,301","17,007"
6,3,Utah Jazz*,29.5,55,27,59,23,6.59,-0.34,6.25,113.3,106.1,+7.2,90.0,.359,.158,.566,NA,.517,14.1,31.6,.276,NA,.489,15.1,71.7,.295,NA,Delta Center,"813,073","19,831"
6,4,San Antonio Spurs*,29.4,59,23,58,24,6.30,-0.33,5.98,110.2,103.5,+6.7,93.3,.342,.200,.558,NA,.516,13.6,27.5,.252,NA,.472,13.9,70.0,.216,NA,Alamodome,"782,701","19,791"
6,5,Orlando Magic*,27.7,60,22,56,26,5.56,-0.16,5.40,112.9,106.9,+6.0,91.8,.336,.248,.562,NA,.529,13.2,29.0,.232,NA,.491,14.0,68.8,.223,NA,Orlando Arena,"707,168","17,248"
6,6,Los Angeles Lakers*,27.1,53,29,53,29,4.45,-0.24,4.21,111.4,106.6,+4.8,92.4,.306,.203,.555,NA,.515,13.3,30.1,.228,NA,.491,14.9,66.8,.205,NA,Great Western Forum,"649,634","15,845"
